Nation,Date,Representative,Thumbnail,Designation,Running President/PM,Gist Link,Emotion,State of Affairs
USA,19-07-2014,Barack Obama,"
Weekly Address: Equipping Workers with Skills Employers Need Now and for the Future",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/07/19/weekly-address-equipping-workers-skills-employers-need-now-and-future,JOY,DEVELOPMENT
USA,25-05-2015,Barack Obama,"
Remarks by the President on Memorial Day",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/05/25/remarks-president-memorial-day,JOY,NATIONALISM
Russia,17-01-2005,Vladimir Putin,Speech at a Meeting with the Government,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22784,OPTIMISM,OTHERS
USA,16-10-2021 00:00,Joe Biden,Remarks by President Biden at the 40th Annual National Peace Officers’ Memorial Service,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/10/16/remarks-by-president-biden-at-the-40th-annual-national-peace-officers-memorial-service/,JOY,NATIONALISM
USA,28-02-2018 00:00,Donald Trump,Remarks by President Trump at Ceremony Preceding the Lying in Honor of the Reverend Billy Graham,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-ceremony-preceding-lying-honor-reverend-billy-graham/,JOY,OTHERS
USA,30-05-2021 00:00,Joe Biden,Remarks by President Biden at an Annual Memorial Day Service,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/05/30/remarks-by-president-biden-at-an-annual-memorial-day-service/,JOY,NATIONALISM
USA,28-09-2015,Barack Obama,"
Remarks by President Obama to the United Nations General Assembly",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/09/28/remarks-president-obama-united-nations-general-assembly,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,17-11-2000,Vladimir Putin,Excerpts from Opening Remarks at a Conference on Socio-Economic Development in Siberia,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21120,JOY,INTERNATIONAL AFFAIRS
USA,16-07-2015,Barack Obama,"
Statement by the President on the Shooting in Chattanooga, TN",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/07/16/statement-president-shooting-chattanooga-tn,UPSET,OTHERS
China,16-09-2015 00:00,H.E. Wang Yi,"For China-US Friendly Cooperation, For Global Peace and Development",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1297164.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
USA,27-11-2018 00:00,Donald Trump,"Remarks by President Trump Upon Arrival | Indianapolis, IN",President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-upon-arrival-indianapolis/,UPSET,OTHERS
Russia,24-06-2007,Vladimir Putin,Speech at the Balkan Energy Cooperation Summit,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24368,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,14-11-2009,Dmitry Medvedev,Excerpts from video link-up with Interior Minister Rashid Nurgaliyev and First Deputy Emergencies Minister Ruslan Tsalikov,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/48510,JOY,OTHERS
USA,28-07-2021 00:00,Joe Biden,Remarks by President Biden on the Importance of American Manufacturing,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/07/28/remarks-by-president-biden-on-the-importance-of-american-manufacturing/,NEUTRAL,DEVELOPMENT
USA,08-03-2019 00:00,Donald Trump,Remarks by President Trump in a Visit to a Disaster Relief Center,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-visit-disaster-relief-center/,OPTIMISM,OTHERS
USA,01-07-2015,Barack Obama,"
Statement by the President on the Re-Establishment of Diplomatic Relations with Cuba",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/07/01/statement-president-re-establishment-diplomatic-relations-cuba,NEUTRAL,INTERNATIONAL AFFAIRS
USA,13-06-2017 00:00,Donald Trump,Remarks by President Trump on Healthcare,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-healthcare/,UPSET,DEVELOPMENT
United Kingdom,27-Apr-20,Boris Johnson,PM statement in Downing Street: 27 April 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-statement-in-downing-street-27-april-2020,JOY,DEVELOPMENT
United Kingdom,07-Sep-16,Theresa May,G20 Summit: PM Commons statement – 7 September 2016,Prime Minister,Theresa May,https://www.gov.uk/government/speeches/g20-summit-pm-commons-statement-7-september-2016,NEUTRAL,INTERNATIONAL AFFAIRS
United Kingdom,02-Nov-20,Boris Johnson,PM Commons statement on coronavirus: 2 November,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-commons-statement-on-coronavirus-2-november,UPSET,DEVELOPMENT
USA,20-01-2017 00:00,Donald Trump,The Inaugural Address,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/the-inaugural-address/,OPTIMISM,DEVELOPMENT
United Kingdom,30-Jul-16,Theresa May,Defeating modern slavery: article by Theresa May,Prime Minister,Theresa May,https://www.gov.uk/government/speeches/defeating-modern-slavery-theresa-may-article,OPTIMISM,OTHERS
Russia,28-02-2000,Vladimir Putin,Opening Address at a Meeting with High-Level Campaign Workers,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24146,OPTIMISM,OTHERS
United Kingdom,20-Sep-16,Theresa May,PM speech at Leaders Summit on Refugees: 20 September 2016,Prime Minister,Theresa May,https://www.gov.uk/government/speeches/pm-speech-at-leaders-summit-on-refugees-20-september-2016,OPTIMISM,DEVELOPMENT
Russia,23-11-2011,Dmitry Medvedev,Statement in connection with the situation concerning the NATO countries’ missile defence system in Europe,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/13637,UPSET,INTERNATIONAL AFFAIRS
United Kingdom,21-Dec-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 21 December 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-21-december-2020,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,22-06-2001,Vladimir Putin,Address on the 60th Anniversary of the Beginning of the Great Patriotic War,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21271,UPSET,NATIONALISM
China,05-12-2020 00:00,H.E. Wang Yi,Building Consensus for Solidarity and Cooperation and Working Together for a Peaceful and Prosperous Africa,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1838068.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
United Kingdom,06-Dec-11,David Cameron,PM speech on life sciences and opening up the NHS,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/pm-speech-on-life-sciences-and-opening-up-the-nhs,OPTIMISM,DEVELOPMENT
USA,05-12-2019 00:00,Donald Trump,Remarks by President Trump at the National Christmas Tree Lighting Ceremony,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-national-christmas-tree-lighting-ceremony-2/,OPTIMISM,OTHERS
Russia,02-06-2003 00:00,Vladimir Putin,From a Speech at an Enlarged Meeting of the Internal Affairs Ministry Board,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21860,NEUTRAL,OTHERS
USA,02-12-2021 00:00,Joe Biden,Statement from President Joe Biden on Unemployment Insurance Claims,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/12/02/statement-from-president-joe-biden-on-unemployment-insurance-claims-2/,JOY,DEVELOPMENT
United Kingdom,27-Jul-10,David Cameron,PM's speech in Turkey,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/pms-speech-in-turkey,JOY,INTERNATIONAL AFFAIRS
USA,28-02-2017 00:00,Donald Trump,Remarks by President Trump in Joint Address to Congress,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-joint-address-congress/,NEUTRAL,DEVELOPMENT
USA,15-07-2021 00:00,Joe Biden,Remarks by President Biden to Mark the Day That Tens of Millions of Families Will Get Their First Monthly Child Tax Credit Relief Payments Thanks to the American Rescue Plan,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/07/15/remarks-by-president-biden-to-mark-the-day-that-tens-of-millions-of-families-will-get-their-first-monthly-child-tax-credit-relief-payments-thanks-to-the-american-rescue-plan/,JOY,DEVELOPMENT
USA,07-02-2015,Barack Obama,"
Weekly Address: Everyone Who Works Hard Should Get Ahead",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/02/07/weekly-address-everyone-who-works-hard-should-get-ahead,OPTIMISM,DEVELOPMENT
USA,09-11-2021 00:00,Joe Biden,Remarks by President Biden at a Virtual Fundraising Reception for the Democratic National Committee,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/11/09/remarks-by-president-biden-at-a-virtual-fundraising-reception-for-the-democratic-national-committee-2/,NEUTRAL,OTHERS
Russia,26-04-2019,Vladimir Putin,Belt and Road Forum for International Cooperation,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/60378,OPTIMISM,INTERNATIONAL AFFAIRS
USA,11-09-2019 00:00,Donald Trump,Remarks by President Trump at September 11th Pentagon Observance Ceremony,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-september-11th-pentagon-observance-ceremony/,UPSET,NATIONALISM
Russia,10-05-2016 00:00,Vladimir Putin,Meeting with Foreign Intelligence Service staff,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/53030,JOY,OTHERS
USA,28-04-2021 00:00,Joe Biden,Excerpts from Remarks as Prepared for Delivery by President Biden to a Joint Session of Congress,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/04/28/excerpts-from-remarks-as-prepared-for-delivery-by-president-biden-to-a-joint-session-of-congress/,OPTIMISM,DEVELOPMENT
China,31-10-2015 00:00,Li Keqiang,For a New Chapter of the China-ROK Friendship,Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1329603.shtml,OPTIMISM,DEVELOPMENT
USA,21-03-2021 00:00,Joe Biden,Statement by President Biden on the International Day for the Elimination of Racial Discrimination,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/03/21/statement-by-president-biden-on-the-international-day-for-the-elimination-of-racial-discrimination/,NEUTRAL,EXTREMISM
USA,24-05-2021 00:00,Joe Biden,Statement by President Joe Biden on Secretary of State Antony Blinken’s Visit to the Middle East,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/05/24/statement-by-president-joe-biden-on-secretary-of-state-antony-blinkens-visit-to-the-middle-east/,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,24-12-2007,Vladimir Putin,Speech at the Opening Ceremony for the Year of the Family in Russia,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24746,NEUTRAL,OTHERS
USA,09-09-2021 00:00,Joe Biden,Statement from the President on Withdrawal of David Chipman’s Nomination to Lead ATF,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/09/09/statement-from-the-president-on-withdrawal-of-david-chipmans-nomination-to-lead-atf/,NEUTRAL,OTHERS
United Kingdom,22-Nov-10,David Cameron,NATO statement,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/nato-statement,OPTIMISM,INTERNATIONAL AFFAIRS
USA,17-09-2020 00:00,Donald Trump,Remarks by President Trump at the White House Conference on American History,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-white-house-conference-american-history/,UPSET,NATIONALISM
United Kingdom,07-Jun-11,David Cameron,Speech on the NHS,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/speech-on-the-nhs--2,NEUTRAL,DEVELOPMENT
Russia,14-11-2009,Dmitry Medvedev,Speech at APEC CEO Summit,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/5989,NEUTRAL,DEVELOPMENT
USA,15-03-2017 00:00,Donald Trump,Remarks by the President on 250th Anniversary of the Birth of President Andrew Jackson,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-250th-anniversary-birth-president-andrew-jackson/,JOY,NATIONALISM
China,27-11-2017 00:00,Li Keqiang,Address by H.E. Li Keqiang Premier of the State Council of the People's Republic of China at the Seventh China-CEEC Business Forum,Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1514726.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
USA,27-01-2016,Barack Obama,"
Remarks by the President at Righteous Among Nations Award Ceremony",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/01/27/remarks-president-righteous-among-nations-award-ceremony,JOY,DEVELOPMENT
Russia,21-12-2005,Vladimir Putin,Opening Remarks at Meeting with the Leadership of the Republic of Chechnya,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23352,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,25-09-2020,Vladimir Putin,Statement by President of Russia Vladimir Putin on a comprehensive program of measures for restoring the Russia – US cooperation in the field of international information security,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/64086,OPTIMISM,INTERNATIONAL AFFAIRS
USA,06-08-2016,Barack Obama,"
Weekly Address: Representing the Best of America in the Summer Olympics",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/08/06/weekly-address-representing-best-america-summer-olympics,JOY,INTERNATIONAL AFFAIRS
USA,24-09-2014,Barack Obama,"
Remarks by President Obama at Luncheon with U.N. Secretary General Ban Ki-moon",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/09/24/remarks-president-obama-luncheon-un-secretary-general-ban-ki-moon,JOY,OTHERS
United Kingdom,22-Feb-11,David Cameron,Prime Minister’s speech to the National Assembly Kuwait,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/prime-ministers-speech-to-the-national-assembly-kuwait,NEUTRAL,INTERNATIONAL AFFAIRS
USA,04-11-2021 00:00,Joe Biden,Statement of President Joe Biden on Unemployment Insurance Claims,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/11/04/statement-of-president-joe-biden-on-unemployment-insurance-claims-3/,NEUTRAL,DEVELOPMENT
United Kingdom,26-Nov-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 26 November 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-26-november-2020,OPTIMISM,DEVELOPMENT
USA,14-02-2013,Barack Obama,"
Remarks by the President on Early Childhood Education -- Decatur, GA",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/02/14/remarks-president-early-childhood-education-decatur-ga,JOY,DEVELOPMENT
USA,05-07-2021 00:00,Joe Biden,Remarks by President Biden Celebrating Independence Day and Independence from COVID-⁠19,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/07/05/remarks-by-president-biden-celebrating-independence-day-and-independence-from-covid-19/,JOY,NATIONALISM
China,21-01-2015 00:00,Li Keqiang,"Uphold Peace and Stability, Advance Structural Reform and Generate New Momentum for Development",Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1230748.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
